dbscan_cluster,count,attack_rate
-1,2030,0.06502463054187192
0,1003,0.0
1,306,1.0
2,16897,0.0
3,11296,0.2071529745042493
4,509,1.0
5,10,0.0
6,203,0.0
7,8322,0.510814708002884
8,779,0.0012836970474967907
9,5408,0.4720784023668639
10,9,0.0
11,14,0.0
12,276,0.0
13,3,0.0
14,72,0.0
15,25,0.0
16,138,0.0
17,274,1.0
18,112,0.0
19,150,1.0
20,30,0.0
21,13,0.0
22,65,1.0
23,68,0.0
24,33,0.0
25,134,0.0
26,7,0.0
27,142,0.0
28,49,0.0
29,5,1.0
30,31,0.0
31,20,0.0
32,153,1.0
33,26,0.0
34,14,0.0
35,7,0.0
36,18,0.0
37,9,1.0
38,25,0.0
39,14,0.0
40,26,0.0
41,6,0.0
42,33,0.0
43,36,0.0
44,27,0.0
45,8,0.0
46,55,0.0
47,11,0.0
48,12,0.0
49,31,0.0
50,5,0.0
51,32,0.0
52,49,0.0
53,10,0.0
54,16,0.0
55,7,1.0
56,45,0.022222222222222223
57,9,1.0
58,7,0.0
59,11,1.0
60,5,0.0
61,11,0.0
62,5,0.0
63,30,0.0
64,58,0.0
65,28,0.0
66,7,0.0
67,26,0.0
68,6,1.0
69,11,0.0
70,25,0.0
71,17,0.0
72,6,0.0
73,20,0.0
74,7,0.0
75,11,0.0
76,8,1.0
77,19,0.0
78,21,0.0
79,5,0.0
80,5,0.0
81,8,1.0
82,9,1.0
83,15,0.0
84,9,1.0
85,5,0.0
86,14,0.0
87,13,0.0
88,5,0.0
89,16,0.0
90,13,0.0
91,5,0.0
92,5,0.0
93,12,0.0
94,6,0.0
95,5,0.0
96,8,0.0
97,34,1.0
98,17,0.0
99,14,0.0
100,11,1.0
101,6,0.0
102,11,1.0
103,6,0.0
104,5,0.2
105,6,1.0
106,6,0.0
107,5,0.0
108,12,1.0
109,5,0.0
110,7,0.0
111,5,0.0
112,6,0.16666666666666666
113,5,0.0
114,9,1.0
115,5,0.0
116,9,0.0
117,6,0.0
118,5,0.0
119,10,0.0
120,6,0.0
121,8,0.0
122,7,1.0
123,7,1.0
124,5,1.0
125,5,0.0
126,14,0.0
127,5,0.0
128,5,0.0
129,6,0.0
130,8,0.0
131,8,0.0
132,5,1.0
133,5,0.0
134,7,0.0
135,9,0.0
136,5,0.0
137,6,1.0
138,7,0.0
139,5,0.0
140,5,0.0
141,6,1.0
142,5,1.0
143,6,0.0
144,5,0.0
145,5,0.0
146,6,0.0
147,5,0.0
148,5,0.0
